f_Hz,mag_Zt_ideal_ohm,phase_Zt_ideal_deg,mag_Zt_nonideal_ohm,phase_Zt_nonideal_deg,mag_G_nonideal_ohm,phase_G_nonideal_deg
139982.27148817,99615.4392205105,174.973572759363,99638.673159868,174.892018408384,99638.673159868,-5.10798159161571
141115.52225866,99609.2240575879,174.933091429509,99632.8473895745,174.850856503259,99632.8473895745,-5.14914349674052
142257.94745742,99602.9090471562,174.892287509156,99626.927953549,174.809366005041,99626.927953549,-5.19063399495855
143409.621357626,99596.492604677,174.851158511062,99620.913362952,174.767544366034,99620.913362952,-5.2324556339661
144570.618833745,99589.9731211004,174.809701930842,99614.8021058345,174.725389020623,99614.8021058345,-5.27461097937658
145741.015366405,99583.3489625072,174.767915246895,99608.5926467977,174.682897385199,99608.5926467977,-5.31710261480111
146920.887047298,99576.6184697451,174.725795920344,99602.2834266479,174.640066858072,99602.2834266479,-5.35993314192831
148110.310584131,99569.7799580614,174.68334139496,99595.8728620473,174.596894819397,99595.8728620473,-5.40310518060313
149309.363305612,99562.8317167306,174.64054909711,99589.3593451597,174.553378631095,99589.3593451597,-5.44662136890483
150518.123166476,99555.7720086778,174.597416435684,99582.7412432922,174.509515636776,99582.7412432922,-5.49048436322391
151736.668752555,99548.5990700965,174.553940802039,99576.0168985321,174.465303161662,99576.0168985321,-5.53469683833805
152965.079285884,99541.3111100624,174.510119569934,99569.1846273793,174.420738512513,99569.1846273793,-5.57926148748701
154203.434629857,99533.9063101425,174.465950095476,99562.2427203739,174.375818977554,99562.2427203739,-5.62418102244635
155451.815294413,99526.3828239989,174.421429717059,99555.1894417192,174.3305418264,99555.1894417192,-5.66945817360012
156710.302441275,99518.7387769884,174.376555755308,99548.0230289003,174.284904309988,99548.0230289003,-5.71509569001222
157978.977889225,99510.9722657561,174.331325513026,99540.7416922974,174.238903660503,99540.7416922974,-5.7610963394965
159257.924119422,99503.0813578258,174.285736275139,99533.3436147945,174.192537091314,99533.3436147945,-5.80746290868574
160547.224280766,99495.0640911842,174.239785308645,99525.8269513838,174.145801796901,99525.8269513838,-5.85419820309898
161846.962195303,99486.9184738605,174.193469862568,99518.1898287647,174.098694952792,99518.1898287647,-5.90130504720772
163157.222363676,99478.6424835012,174.146787167905,99510.4303449378,174.0512137155,99510.4303449378,-5.9487862845005
164478.089970617,99470.2340669398,174.099734437583,99502.5465687951,174.003355222454,99502.5465687951,-5.99664477754591
165809.650890484,99461.6911397618,174.052308866414,99494.5365397035,173.955116591946,99494.5365397035,-6.04488340805426
167151.991692849,99453.0115858641,174.004507631055,99486.3982670854,173.906494923063,99486.3982670854,-6.09350507693728
168505.199648121,99444.1932570095,173.956327889964,99478.1297299924,173.857487295634,99478.1297299924,-6.14251270436643
169869.362733223,99435.2339723771,173.907766783367,99469.7288766755,173.808090770171,99469.7288766755,-6.19190922982928
171244.569637308,99426.1315181057,173.858821433217,99461.1936241496,173.758302387816,99461.1936241496,-6.24169761218407
172630.909767531,99416.8836468345,173.809488943166,99452.5218577528,173.708119170288,99452.5218577528,-6.2918808297125
174028.473254854,99407.4880772366,173.75976639853,99443.7114307011,173.65753811983,99443.7114307011,-6.3424618801704
175437.350959913,99397.9424935482,173.709650866262,99434.7601636381,173.606556219163,99434.7601636381,-6.39344378083657
176857.634478922,99388.2445450934,173.659139394924,99425.665844179,173.555170431441,99425.665844179,-6.44482956855938
178289.416149626,99378.3918458028,173.608229014666,99416.4262264496,173.503377700199,99416.4262264496,-6.49662229980128
179732.789057308,99368.3819737272,173.556916737204,99407.0390306214,173.451174949319,99407.0390306214,-6.54882505068109
181187.847040838,99358.2124705466,173.505199555801,99397.5019424395,173.398559082986,99397.5019424395,-6.60144091701395
182654.684698776,99347.8808410738,173.453074445252,99387.8126127474,173.345526985651,99387.8126127474,-6.65447301434895
184133.397395519,99337.3845527528,173.400538361871,99377.9686570051,173.292075521996,99377.9686570051,-6.70792447800418
185624.081267505,99326.7210351522,173.347588243481,99367.967654803,173.238201536901,99367.967654803,-6.76179846309946
187126.833229461,99315.8876794532,173.294221009409,99357.8071493701,173.183901855414,99357.8071493701,-6.81609814458624
188641.750980704,99304.8818379331,173.240433560483,99347.4846470779,173.129173282725,99347.4846470779,-6.87082671727489
190168.933011491,99293.7008234433,173.186222779027,99336.9976169377,173.074012604141,99336.9976169377,-6.92598739585933
